session_id,level_id,shots_fired,correct_hits,time_taken_s,pauses,completed,accuracy_pct,outcome
9c457de045f1406dbdba14b59ae5b4af,LvL1,8,2,30.07,0,0,25.0,Loss
9c457de045f1406dbdba14b59ae5b4af,LvL1,5,2,32.2,2,0,40.0,Loss
95a94a9be19544878add9f46b829e7c6,LvL1,4,1,22.38,1,0,25.0,Loss
babc5b73b497404197b7def356a80661,LvL1,0,0,60.0,0,0,0.0,Loss
e13b774ccc9a49258c21bb1e90e2d4bc,LvL1,5,1,15.42,0,0,20.0,Loss
e13b774ccc9a49258c21bb1e90e2d4bc,LvL1,5,2,9.63,3,0,40.0,Loss
9827349d7e3c4b2eac23e13ae1fbea3a,LvL1,11,2,18.97,0,0,18.181818181818183,Loss
592bbbe9aca648d6883d187134a9f64b,LvL1,5,4,60.01,0,0,80.0,Loss
564995c71a084b6f8a64c73e4cb30a24,LvL1,4,1,26.32,0,0,25.0,Loss
6b189244bec64e83a603cf4b878d3655,LvL1,4,0,53.61,0,0,0.0,Loss
2c68f52ad89e4fa6a0ffd017bc6d9a4e,LvL1,9,3,50.18,0,0,33.33333333333333,Loss
2c68f52ad89e4fa6a0ffd017bc6d9a4e,LvL1,8,3,36.58,0,0,37.5,Loss
2c68f52ad89e4fa6a0ffd017bc6d9a4e,LvL1,7,4,29.87,0,1,57.14285714285714,Win
2c68f52ad89e4fa6a0ffd017bc6d9a4e,LvL1,10,3,24.95,2,0,30.0,Loss
8275243f6c1f4c668ef78988cf8e09c1,LvL1,0,0,60.01,0,0,0.0,Loss
8275243f6c1f4c668ef78988cf8e09c1,LvL1,0,0,60.01,0,0,0.0,Loss
8275243f6c1f4c668ef78988cf8e09c1,LvL1,5,4,60.01,0,0,80.0,Loss
8275243f6c1f4c668ef78988cf8e09c1,LvL1,5,1,28.17,0,0,20.0,Loss
f3f705a5a547408295e19a2a7d025feb,LvL1,5,4,60.01,0,0,80.0,Loss
8275243f6c1f4c668ef78988cf8e09c1,LvL1,5,3,60.01,0,0,60.0,Loss
f3f705a5a547408295e19a2a7d025feb,LvL1,4,3,60.01,0,0,75.0,Loss
f3f705a5a547408295e19a2a7d025feb,LvL1,7,2,60.01,0,0,28.57142857142857,Loss
f3f705a5a547408295e19a2a7d025feb,LvL1,4,4,33.67,0,1,100.0,Win
1682aec1d0454455a8c2a42c2d58c315,LvL1,8,5,55.5,0,1,62.5,Win
1682aec1d0454455a8c2a42c2d58c315,LvL1,6,1,27.78,1,0,16.666666666666664,Loss
1682aec1d0454455a8c2a42c2d58c315,LvL1,7,4,60.02,1,0,57.14285714285714,Loss
1682aec1d0454455a8c2a42c2d58c315,LvL1,5,4,31.25,1,1,80.0,Win
4bd37329e17a4c838d1e5d68e3321dd7,LvL1,5,0,23.33,0,0,0.0,Loss
4bd37329e17a4c838d1e5d68e3321dd7,LvL1,4,2,60.0,0,0,50.0,Loss
4bd37329e17a4c838d1e5d68e3321dd7,LvL1,5,4,23.57,0,1,80.0,Win
4bd37329e17a4c838d1e5d68e3321dd7,LvL1,8,4,60.0,0,0,50.0,Loss
